INTR_NM,위도,경도
삼성산성지,37.45859842527833,126.92962460422478
난향삼거리(연등),37.46101513658082,126.92562417514459
대우당약국,37.45083230494237,126.90591514432278
수동물병원(연등)2,37.49671277392882,126.88762222771464
삼성동자치회관,37.46390447387143,126.9316509814329
인헌초교,37.47624174810896,126.95906026446893
금천경찰서(연등)1,37.48141037695384,126.91226543332498
은행나무사거리,37.45224584938524,126.90599933066721
은행나무사거리(연등),37.45182554672918,126.90697325013168
관악농협,37.450711805223946,126.90971688604589
문성골길입구(연등),37.47497465162759,126.90346006299673
다정슈퍼,37.48971603831251,126.90026823796771
미성초교(연등),37.477507645699745,126.91369850174114
낙성현대홈타운,37.4796097906514,126.96376688898656
개봉새마을금고,37.501103090210755,126.85092308454068
호림박물관입구,37.48250596837552,126.91837872232406
덕의초교,37.5055826047043,126.85704906015712
제이타워웨딩,37.48104760538078,126.91021941980668
남문시장입구,37.47127993821087,126.90055706379222
태진운수,37.499033816613185,126.89246364969769
고척119안전센터(연등)2,37.50507539276084,126.85577539041236
금천수요양병원,37.48039366476929,126.9066383772962
금천구청역,37.45597410237376,126.89472575006631
디지털학교,37.47261129019004,126.89559050925251
상도터널,37.50417516050684,126.94953308888668
한국금융안전(연등),37.48715756260467,126.91103667233729
문창초교,37.48761339472076,126.91243173083232
다정슈퍼(연등),37.49061835350386,126.9012726288247
범일운수(연등)1,37.45044320396251,126.91147888201257
압구정현대아파트,37.528098297118234,127.03018585667678
온수역8번출구(연등),37.49264164059076,126.82351087780404
청담초교,37.5270291707093,127.04378264073677
강남을지병원(연등),37.518930292615394,127.02621513000928
동일여고,37.45005777460821,126.91417160838083
청담초교정문(경보),37.52772986233316,127.0440585806418
학동(연등)2,37.52265498173515,127.03737028062086
고척근린공원,37.503998698838124,126.85294869723914
구로변전소,37.49798870154487,126.88401395264069
벽산6단지입구,37.44980736088734,126.9179507198721
도성교회,37.449982246796544,126.91964573599792
한국SGI회관앞,37.50226583035268,126.88906426451544
SK윈윈주유소(연등),37.50129690549013,126.8989559706411
제일제당앞,37.499770291965,126.87459124708842
관악벽산타운1단지,37.45244313576581,126.92080002496883
오류2치안센터,37.491022791840265,126.84076144305077
난곡사,37.45872947062915,126.92222121614581
중앙사약국,37.45392420818952,126.90323130595615
시흥초교후문(연등),37.4536995579114,126.90614331100014
래미안영등포110동,37.5051721041746,126.90543651598173
학동(연등)1,37.52345951804285,127.04133471672046
세곡초교,37.503320688558226,126.85116746528364
신도림SK뷰,37.50771516069051,126.88640932480986
시흥초교후문,37.455023390772325,126.9059030458408
안씨묘입구(연등)2,37.456236821321475,126.90566031811181
신도림우성아파트,37.51251965991117,126.8866756998473
동구로초교(연등)2,37.493977840494814,126.88985490721737
신도림우성아파트(연등)1,37.511547943024205,126.88536484715611
안씨묘입구,37.457236735503805,126.90548650236553
오류역입구,37.49627660662308,126.84435106700533
세곡초교(연등),37.502890406353394,126.85001694262726
동구로초교,37.49284744695981,126.89074710020527
온수역,37.4919228017409,126.8218638958929
경원하이츠텔,37.523868134522225,127.0446664029122
대림1동주민센터(연등),37.49452262309146,126.90564071552433
신정교(연등),37.5151678292164,126.88183573048914
태영아파트정문,37.5048228015676,126.88722416382117
원앙예식장,37.52456834366633,127.05029914773127
법원단지,37.45950541252818,126.90500623305122
영동대교남단(연등)1,37.524842997625164,127.05279598525836
성산타운,37.48831295002158,126.8368229422864
시흥4동사거리,37.462747160516976,126.90405007773778
강남케이블TV,37.516285680054594,127.03819418451921
동구로초교(연등)1,37.491653688009805,126.89180472564078
중앙유통단지,37.501169357031884,126.87724367493078
논현역(연등),37.51156361529468,127.02279273889924
삼성해청아파트,37.517678300687116,127.04375844458644
미래초교,37.50435271909451,126.88775490792653
정훈단지(연등),37.465443825673795,126.90223884023088
구로현대아파트,37.48712499752795,126.87743889215037
강남세무서(연등)2,37.51791263004425,127.0450907537217
독산4동사거리,37.46646542711898,126.90172678885662
독산4동사거리(연등)1,37.467765343261995,126.90198825763757
구로1동파출소앞,37.49124843713119,126.87475650132353
독산4동사거리(연등)2,37.468858520303996,126.90232147091474
한남대교남단,37.522918204274085,127.01989046067672
아이천국어린이집(연등),37.49791011939395,126.8395080033974
독산4동삼거리(연등)2,37.46987601306175,126.90267640281552
문성골길입구,37.47623231306878,126.90360427769114
대림1동새마을금고(연등)2,37.49276980747291,126.90366617200193
,37.485064627086736,126.83977111565432
남서울주유소(연등),37.472351629843,126.90319505061792
강남세무서,37.51815085112069,127.04642011827742
대림역북측,37.494434857457286,126.89453586050188
남서울주유소,37.47391803451248,126.90335793527878
서원빌딩,37.47804200756424,126.90375620286052
대일외고,37.61308560970321,127.01310792163157
구로노인종합복지관(연등),37.50486313486761,126.8888492138989
난곡119안전센터,37.475899081322574,126.9161636690712
가로수길교차로(연등),37.52345429225409,127.02103236110644
대림1동새마을금고,37.49337607078696,126.90434682797571
