순번,자치구,X좌표,Y좌표,주소
순번,자치구,,,주소
1,강남구,203980.959267849,543978.492768819,강남구 역삼동 807-16 도
2,강남구,203969.775124657,543892.012017824,강남구 역삼동 807-22 도
3,강남구,202383.780718808,545913.958803428,강남구 논현동 29-5 대
4,강남구,202292.498839751,545800.201730389,강남구 논현동 40 대
5,강남구,206292.296928926,543350.190898011,강남구 개포동 185 대
6,강남구,206299.583022837,543332.8942801,강남구 개포동 185 대
7,강남구,206412.100517158,543170.030851752,강남구 개포동 185 대
8,강남구,206426.653524724,543162.088632233,강남구 개포동 185 대
9,강남구,206368.741885586,543205.089294157,강남구 개포동 185 대
10,강남구,205247.648531289,544192.528312652,강남구 대치동 1011-8 도
11,강남구,205256.864698304,544188.428228753,강남구 대치동 1011-8 도
12,강남구,209194.362397918,543096.966993169,강남구 수서동 724-3 도
13,강남구,207066.364884632,542628.900480336,강남구 일원동 714-2 도
14,강남구,207132.264249226,542813.140121604,강남구 일원동 173-5임
15,강남구,207861.003115868,543604.058587398,강남구 일원동 711 대
16,강남구,207867.310729116,543622.078617923,강남구 일원동 711 대
17,강남구,207953.632253813,543638.977391978,강남구 일원동 711 대
18,강남구,201849.848478593,547404.298727637,강남구 압구정동 386-1 도
19,강남구,201901.472538197,547296.544536944,강남구 압구정동 420 도
20,강남구,201953.837824045,547212.612296397,강남구 압구정동 420 도
21,강남구,206711.780867964,543730.210239693,강남구 개포동 12-2 대
22,강남구,206705.954261542,543748.354567387,강남구 개포동 12-2 대
23,강남구,206610.000779434,543779.050820874,강남구 개포동 12 대
24,강남구,206566.909573087,543796.483238022,강남구 개포동 12 대
25,강남구,203666.060779956,547870.082403785,강남구 압구정동 495 도
26,강남구,203626.315005369,547732.908731836,강남구 압구정동 495 도
27,강남구,203238.580460665,546368.357115124,강남구 논현동 105 대
28,강남구,203428.181839059,546409.884609879,강남구 논현동 279-66 도
29,강남구,203458.308823771,546437.269372809,강남구 논현동 112-6 도
30,강남구,203517.835101401,546460.389915778,강남구 논현동 112-20 도
31,강남구,205568.369108927,545450.949984977,강남구 대치동 167 대
32,강남구,205692.036616795,543613.018241329,강남구 대치동 510 학
33,강남구,205616.471005486,543792.746535913,강남구 대치동 316 대
34,강남구,202686.593146304,546794.832345601,강남구 신사동 626-4 대
35,강남구,205431.431247208,545464.3185085,강남구 삼성동 159-8 대
36,강남구,205421.923783613,545460.449822888,강남구 삼성동 159-8 대
37,강남구,201944.16658269,546382.086012204,강남구 논현동 280 도
38,강남구,201883.993708673,546350.401179261,강남구 논현동 280 도
39,강남구,201835.326205541,546326.609939293,강남구 논현동 280 도
40,강남구,202065.864616614,546497.631391463,강남구 신사동 667-20 도
41,강남구,202147.758926984,546491.891238609,강남구 논현동 279-31 도
42,강남구,202318.924148177,546627.623705341,강남구 신사동 565-21 대
43,강남구,202332.329372204,546587.586072776,강남구 논현동 564-6 대
44,강남구,202502.032415982,546725.981974778,강남구 신사동 597-4 대
45,강남구,202799.503900309,546840.676368748,강남구 신사동 627-14 대
46,강남구,203027.16452511,546741.790297108,강남구 논현동 279-23 도
47,강남구,202637.1431284,544375.171846649,강남구 역삼동 635-1 공
48,강남구,203063.644422297,544540.451972566,강남구 역삼동 800-54 도
49,강남구,203281.49329446,544613.104235914,강남구 역삼동 670-8 대
50,강남구,203289.219813656,544592.716331024,강남구 역삼동 670-11 대
51,강남구,203651.973285026,544720.128651908,강남구 역삼동 804-1 도
52,강남구,204634.426469464,545973.728959332,강남구 삼성동 68-12 대
53,강남구,204631.10140362,545985.753846641,강남구 삼성동 50 대
54,강남구,204643.873179052,545992.596033868,강남구 삼성동 68-12 대
55,강남구,204575.646764179,546003.443251945,강남구 삼성동 50 대
56,강남구,204518.569390256,546099.268953073,강남구 삼성동 50 대
57,강남구,204535.949687948,546082.441195755,강남구 삼성동 50 대
58,강남구,204584.410601619,545994.980114275,강남구 삼성동 50 대
59,강남구,204588.010034849,546005.535446684,강남구 삼성동 50 대
60,강남구,204570.768759914,546011.216713014,강남구 삼성동 50 대
61,강남구,204551.51772451,546010.124959617,강남구 삼성동 50 대
62,강남구,204547.848374743,546036.04669537,강남구 삼성동 50 대
63,강남구,204537.107638117,546043.471654867,강남구 삼성동 50 대
64,강남구,204545.112225925,546026.552510505,강남구 삼성동 50 대
65,강남구,204523.205217991,546089.584110253,강남구 삼성동 50 대
66,강남구,210596.560549138,541029.649599151,강남구 율현동 480천
67,강남구,204133.356521011,546389.378233494,강남구 삼성동 111-108 도
68,강남구,204151.183038872,546298.673984297,강남구 삼성동 111-117 도
69,강남구,204160.934436171,546288.791846417,강남구 삼성동 16-2 대
70,강남구,204145.264709748,546285.938443235,강남구 삼성동 111-117 도
71,강남구,204155.530821765,546275.535704263,강남구 삼성동 14-1 대
72,강남구,204144.014422307,546377.381605729,강남구 삼성동 16 대
73,강남구,204124.243836351,546377.565961762,강남구 삼성동 111-108 도
74,강남구,204106.246700492,546474.853927346,강남구 삼성동 111-98 도
75,강남구,204114.102276314,546436.553863373,강남구 삼성동 111-108 도
76,강남구,204136.897764402,546408.014970203,강남구 삼성동 16 대
77,강남구,204311.725463414,546228.648726853,강남구 삼성동 16-2 대
78,강남구,204120.927149156,546444.541519816,강남구 삼성동 111-108 도
79,강남구,204908.205534103,546784.313478991,강남구 청담동 77-63 도
80,강남구,205814.659136387,546083.020802865,강남구 삼성동 172-10 도
81,강남구,205782.81253272,545774.370325542,강남구 삼성동 170 대
82,강남구,205782.81253272,545774.370325542,강남구 삼성동 170 대
83,강남구,205594.253842896,545700.903617869,강남구 삼성동 168-17 도
84,강남구,205840.983914123,546282.35834978,강남구 삼성동 111-37 도
85,강남구,205844.463391379,546345.29347601,강남구 삼성동 186-1천
86,강남구,204002.325108427,546420.015591238,강남구 삼성동 111-107 도
87,강남구,205638.486514126,545716.729070157,강남구 삼성동 165-12 대
88,강남구,204415.300292842,541877.42479446,강남구 포이동 202 대
89,강남구,203487.4245672,542961.793094539,강남구 도곡동 909-23도
90,강남구,205994.419076733,545334.376368091,강남구 대치동 78-25천
91,강남구,203496.438195677,544739.623633645,강남구 역삼동 678-43 도
92,강남구,203090.873904267,542821.504534404,강남구 도곡동 958-3 도
93,강남구,205258.546626828,542512.280352448,강남구 개포동 660-10 학
94,강남구,204201.488013643,547369.217278187,강남구 청담동 117-9 대
95,강남구,204226.579788096,547298.261802906,강남구 청담동 139-17 도
96,강남구,204931.475059601,543423.733311146,강남구 대치동 500 대
97,강남구,210578.654480667,541046.205238553,강남구 율현동 480천
98,강남구,210583.920303625,541064.634115992,강남구 율현동 480천
99,강남구,210533.739282449,541164.95271464,강남구 율현동 101-10 도
100,강남구,203236.068766883,545544.919677721,강남구 논현동 279-177 도
101,강남구,203222.700065268,545548.387168438,강남구 논현동 279-177 도
102,강남구,203221.449809059,545540.5459709,강남구 논현동 279-177 도
103,강남구,203234.576323123,545535.093231142,강남구 논현동 279-177 도
104,강남구,205453.931406403,543439.491990985,강남구 대치동 506 대
105,강남구,203578.217077807,544901.69428635,강남구 역삼동 689-4 대
106,강남구,203573.596041319,544893.991529886,강남구 역삼동 689-4 대
107,강남구,204234.133991501,545116.563188582,강남구 역삼동 802-30 도
108,강남구,206987.825447677,543950.547569017,강남구 개포동 14-8 도
109,강남구,206842.7348524,544131.170100398,강남구 개포동 27-15 주
110,강남구,203800.915759281,544998.418944671,강남구 역삼동 700-38 도
111,강남구,203860.058927381,544979.222325124,강남구 역삼동 700-33 대
112,강남구,203873.319921902,544981.708947135,강남구 역삼동 802-37 도
113,강남구,203873.453711781,544968.771685969,강남구 역삼동 802-34 도
114,강남구,204033.207981641,547536.700344185,강남구 청담동 144 도
115,강남구,204037.653722312,547529.112954691,강남구 청담동 144 도
116,강남구,204045.044507602,547531.639242106,강남구 청담동 139-15 도
117,강남구,203645.923194838,544948.482457951,강남구 역삼동 690-37 대
118,강남구,205852.504273644,545709.584877509,강남구 삼성동 171-2 대
119,강남구,204560.396620886,545259.391036941,강남구 삼성동 172-89 도
120,강남구,204472.190717401,545255.395054085,강남구 삼성동 172-98 도
121,강남구,204467.417571837,545144.36200336,강남구 삼성동 142-25 도
122,강남구,204457.930825101,545141.528451229,강남구 삼성동 172-98 도
123,강남구,204356.641150897,544916.398040045,강남구 역삼동 805-9 도
124,강남구,204370.851191011,544875.831808044,강남구 역삼동 805-9 도
125,강남구,204142.083753326,545044.587775767,강남구 역삼동 802-39 도
126,강남구,204140.251416128,545032.363390207,강남구 역삼동 802-39 도
127,강남구,204171.657647476,545091.079389294,강남구 역삼동 802-39 도
128,강남구,204179.107328351,545089.663338298,강남구 역삼동 802-39 도
129,강남구,203162.723893411,547029.917674728,강남구 신사동 651-17 도
130,강남구,202053.444100502,546544.507809229,강남구 신사동 554-30 대
131,강남구,207405.162511956,542650.228318792,강남구 일원동 197-6임
132,강남구,207782.820684756,543475.989499636,강남구 일원동 711 대
133,강남구,207788.973137118,543459.756179884,강남구 일원동 711 대
134,강남구,204045.044507602,547531.639242106,강남구 청담동 139-15 도
135,강남구,204097.974013678,547734.7671113,강남구 청담동 146 도
136,강남구,203962.695090741,547785.686164145,강남구 청담동 146 도
137,강남구,202785.317468478,547605.198440577,강남구 신사동 668-10 도
138,강남구,202422.955007114,548036.775076716,강남구 압구정동 453 도
139,강남구,202474.798210487,547812.272859305,강남구 압구정동 453 도
140,강남구,201995.303508976,547115.614933315,강남구 신사동 426 대
141,강남구,201983.763107722,547107.695306823,강남구 신사동 426 대
142,강남구,208968.186628265,543093.994079482,강남구 수서동 711 학
143,강남구,208958.403928044,543109.698060663,강남구 수서동 711 학
144,강남구,202022.989295146,546791.36884798,강남구 신사동 667-13 도
145,강남구,202386.385672671,547365.723807992,강남구 신사동 451 대
146,강남구,202383.840106619,547356.027099692,강남구 신사동 451 대
147,강남구,202443.921857322,547293.945024922,강남구 신사동 453 도
148,강남구,202434.720426137,547113.523469222,강남구 신사동 667-31 도
149,강남구,204685.08157821,541770.930318182,강남구 포이동 656 대
150,강남구,204134.986977741,541839.114273534,강남구 포이동 220-10 도
151,강남구,204184.117263762,541873.426712351,강남구 포이동 220-7 도
152,강남구,204184.117263762,541873.426712351,강남구 포이동 220-7 도
