near_crosswalk,속도구간,고령자사고확률,구분,near_traffic_light,near_child_zone,near_elderly_zone,보호구역여부
0.0,느림,0.1817965967550455,near_crosswalk,,,,
0.0,중간,0.18287088834191095,near_crosswalk,,,,
0.0,조금빠름,0.15812917594654788,near_crosswalk,,,,
0.0,빠름,0.15151515151515152,near_crosswalk,,,,
1.0,느림,0.20183073229291718,near_crosswalk,,,,
1.0,중간,0.20081264681607516,near_crosswalk,,,,
1.0,조금빠름,0.17482517482517482,near_crosswalk,,,,
1.0,빠름,0.03571428571428571,near_crosswalk,,,,
,느림,0.18819530284301608,near_traffic_light,0.0,,,
,중간,0.18475724741905583,near_traffic_light,0.0,,,
,조금빠름,0.15838852097130243,near_traffic_light,0.0,,,
,빠름,0.1232876712328767,near_traffic_light,0.0,,,
,느림,0.19140750240461687,near_traffic_light,1.0,,,
,중간,0.2070536370315944,near_traffic_light,1.0,,,
,조금빠름,0.17117117117117117,near_traffic_light,1.0,,,
,빠름,0.21428571428571427,near_traffic_light,1.0,,,
,느림,0.187657597876576,near_child_zone,,0.0,,
,중간,0.18439783921194788,near_child_zone,,0.0,,
,조금빠름,0.15514758819294455,near_child_zone,,0.0,,
,빠름,0.128,near_child_zone,,0.0,,
,느림,0.1893913634818089,near_child_zone,,1.0,,
,중간,0.18905800733335093,near_child_zone,,1.0,,
,조금빠름,0.16927899686520376,near_child_zone,,1.0,,
,빠름,0.14285714285714285,near_child_zone,,1.0,,
,느림,0.18836699926989536,near_elderly_zone,,,0.0,
,중간,0.18648807771563145,near_elderly_zone,,,0.0,
,조금빠름,0.15686813186813187,near_elderly_zone,,,0.0,
,빠름,0.14,near_elderly_zone,,,0.0,
,느림,0.19070904645476772,near_elderly_zone,,,1.0,
,중간,0.19033159237216082,near_elderly_zone,,,1.0,
,조금빠름,0.23157894736842105,near_elderly_zone,,,1.0,
,빠름,0.0,near_elderly_zone,,,1.0,
,느림,0.188889470105142,near_disabled_zone,,,,0.0
,중간,0.1871284531996736,near_disabled_zone,,,,0.0
,조금빠름,0.1584051724137931,near_disabled_zone,,,,0.0
,빠름,0.12578616352201258,near_disabled_zone,,,,0.0
,느림,0.17032967032967034,near_disabled_zone,,,,1.0
,중간,0.17001338688085676,near_disabled_zone,,,,1.0
,조금빠름,0.21739130434782608,near_disabled_zone,,,,1.0
,빠름,1.0,near_disabled_zone,,,,1.0
