부착대관리번호,신호등종류,X좌표,Y좌표
03-0000022868,2.0,204134.60676,554665.92962
03-0000022524,2.0,204069.46782,554689.44515
03-0000022814,2.0,204635.73043,556564.61292
03-0000031284,2.0,204647.67188,556541.1875
03-0000062059,2.0,203611.64685,555657.91072
03-0000008489,2.0,198107.32797,556835.25539
03-0000008479,2.0,198074.49161,556838.39999
03-0000062063,2.0,198106.81368,556857.27983
03-0000021441,2.0,205085.37897,554789.33217
03-0000031059,2.0,205107.50914,554789.96033
03-0000061298,2.0,205944.03002,552863.54006
03-0000061299,2.0,205959.95417,552866.48843
03-0000061300,2.0,205963.75693,552868.09125
03-0000017586,2.0,205961.76147,552934.63157
03-0000061542,2.0,193339.3357,552810.03978
03-0000061543,2.0,193353.46557,552801.06853
03-0000061547,2.0,197392.63629,546825.86131
03-0000037875,2.0,197411.03518,546841.71446
03-0000060195,2.0,195365.8345,542504.19055
03-0000019786,2.0,187575.09101,551266.14884
03-0000043121,2.0,188316.65324,550023.97208
03-0000060542,2.0,183344.21688,552053.78229
03-0000033939,2.0,195926.99614,542951.00145
03-0000029251,2.0,195926.46993,542964.37885
03-0000059373,2.0,195824.70313,542408.34375
03-0000059370,2.0,195837.52214,542436.82681
03-0000011045,2.0,195835.64063,542440.8125
03-0000020430,2.0,185252.12305,552579.09086
03-0000020429,2.0,185324.88415,552550.15183
03-0000020658,2.0,185989.27567,546935.4932
03-0000020655,2.0,185971.77567,546947.8932
03-0000020671,2.0,185835.97219,546908.11013
03-0000036036,2.0,185842.17737,546892.51872
03-0000041691,2.0,186217.6317,547018.93279
03-0000041689,2.0,186231.50035,547005.82199
03-0000061302,2.0,204477.7942,553357.8085
03-0000061303,2.0,204479.61701,553355.23142
03-0000061305,2.0,204473.00579,553371.81435
03-0000061307,2.0,207694.58831,554543.96455
03-0000061308,2.0,207698.02708,554543.2768
03-0000061310,2.0,207683.66286,554542.33166
03-0000045134,2.0,197849.86293,551134.77196
03-0000008816,2.0,193211.2232,554856.22235
03-0000009102,2.0,193192.10685,554768.35425
03-0000034167,2.0,196089.25137,549160.05933
03-0000010832,2.0,196097.128,549125.03485
03-0000001228,2.0,199736.51107,552997.87653
03-0000046074,2.0,198672.07789,553394.50376
03-0000062067,2.0,199946.15919,554839.07351
03-0000062068,2.0,201328.50344,553628.02783
03-0000062071,2.0,199974.93811,554311.00922
03-0000022151,2.0,199964.0603,554311.72672
03-0000062074,2.0,189827.26878,541514.43627
03-0000062075,2.0,189813.16878,541493.33627
03-0000060952,2.0,182288.98438,553313.375
03-0000042975,2.0,183339.04552,552989.54489
03-0000032204,2.0,183353.72646,552992.51308
03-0000004811,2.0,207924.03274,548724.26929
03-0000004832,2.0,215051.17356,549596.18715
03-0000022106,2.0,203113.58153,553193.9819
03-0000021740,2.0,203726.46747,553313.48319
03-0000022864,2.0,203749.17013,553323.45012
03-0000036244,2.0,203781.35938,553317.90625
03-0000017829,2.0,205739.74897,549402.77057
03-0000015152,2.0,200706.82252,550186.93803
03-0000019397,2.0,196755.44259,548190.2059
03-0000041691,2.0,186219.78125,547013.1875
03-0000048191,2.0,190527.3975,544320.63678
03-0000035713,2.0,186331.79984,549651.16501
03-0000034040,2.0,186166.07909,549361.04031
03-0000002460,2.0,186144.03518,549373.68729
03-0000010221,2.0,186129.20708,549349.93783
03-0000038282,2.0,185543.09375,549012.0625
03-0000018415,2.0,185502.30634,549017.34079
03-0000035602,2.0,185520.91105,548996.85693
03-0000036052,2.0,185897.76814,549112.12172
03-0000017852,2.0,191213.97052,548058.9538
03-0000020180,2.0,189200.99531,547374.51418
03-0000020476,2.0,183333.38519,552987.23843
03-0000007886,2.0,193128.9782,556185.71732
03-0000019793,2.0,187655.7157,551335.44314
03-0000019802,2.0,187775.17882,551251.64806
03-0000046942,2.0,206947.3188,557286.54772
03-0000019890,2.0,202763.62447,551548.76418
03-0000019908,2.0,183359.30054,551727.3362
03-0000019949,2.0,202477.63668,542667.80767
03-0000020151,2.0,190877.04688,547412.125
03-0000018038,2.0,202982.93805,550476.54425
03-0000018067,2.0,188060.66052,547229.13418
03-0000045995,2.0,201106.43562,552230.66718
03-0000025103,2.0,205473.25423,561658.17723
03-0000042334,2.0,188290.63121,550535.20964
03-0000024276,2.0,209492.51234,556006.3805
03-0000024322,2.0,207957.20395,556073.95873
03-0000043415,2.0,204849.80926,551750.88083
03-0000021393,2.0,204812.375,551757.78125
03-0000028617,2.0,192817.67473,541510.73191
03-0000005514,2.0,192822.17914,541531.5118
03-0000005514,2.0,192813.35561,541521.54721
03-0000007775,2.0,194441.31647,550565.38479
03-0000044430,2.0,194795.58475,546001.41073
03-0000005197,2.0,197553.2189,550845.38049
03-0000026908,2.0,202044.12051,559644.86466
03-0000031691,2.0,202771.46457,562492.01204
03-0000018251,2.0,202433.56503,551957.29636
03-0000017522,2.0,204498.80379,549800.04337
