부착대관리번호,신호등종류,위도,경도
03-0000022868,2.0,37.591548500127345,127.0468153254943
03-0000022524,2.0,37.591760663357526,127.04607790114969
03-0000022814,2.0,37.60865306812939,127.05250146610838
03-0000031284,2.0,37.60844194739705,127.05263655892473
03-0000062059,2.0,37.6004883626628,127.04089884797158
03-0000008489,2.0,37.61110125921694,126.97856404332606
03-0000008479,2.0,37.61112952358114,126.97819213821468
03-0000062063,2.0,37.611299695951615,126.97855816162811
03-0000021441,2.0,37.59265558592588,127.05758158120534
03-0000031059,2.0,37.592661123084085,127.05783216466567
03-0000061298,2.0,37.57529919692545,127.06728843416012
03-0000061299,2.0,37.57532565867301,127.06746872478703
03-0000061300,2.0,37.57534007537364,127.06751178634417
03-0000017586,2.0,37.57593961253364,127.06748973813207
03-0000061542,2.0,37.57481225983495,126.92459951504593
03-0000061543,2.0,37.57473153147423,126.92475955011705
03-0000061547,2.0,37.52091528012111,126.97050519412981
03-0000037875,2.0,37.521058169237854,126.97071326868968
03-0000060195,2.0,37.48196883684147,126.94760499603785
03-0000019786,2.0,37.56084219848213,126.85937302978573
03-0000043121,2.0,37.549659943186434,126.86778589493564
03-0000060542,2.0,37.567871961808756,126.81146969070308
03-0000033939,2.0,37.48599728325057,126.95394715327123
03-0000029251,2.0,37.48611781237087,126.95394112949819
03-0000059373,2.0,37.481107435652355,126.95279361814114
03-0000059370,2.0,37.481364128315064,126.95293839032763
03-0000011045,2.0,37.4814000312524,126.95291709516194
03-0000020430,2.0,37.572637459311665,126.83305502833026
03-0000020429,2.0,37.57237788307114,126.8338792550412
03-0000020658,2.0,37.521800406904276,126.8415072121879
03-0000020655,2.0,37.52191186500198,126.84130901191722
03-0000020671,2.0,37.52155134574609,126.83977353898244
03-0000036036,2.0,37.5214109624536,126.83984403330241
03-0000041691,2.0,37.522555635320685,126.84408885901651
03-0000041689,2.0,37.52243771409593,126.84424599124205
03-0000061302,2.0,37.5797608195282,127.05069317370783
03-0000061303,2.0,37.57973759133937,127.05071379401022
03-0000061305,2.0,37.579887034602166,127.05063904953329
03-0000061307,2.0,37.59042673516701,127.0871229708362
03-0000061308,2.0,37.59042050985419,127.08716189948642
03-0000061310,2.0,37.590412114214196,127.0869992490218
03-0000045134,2.0,37.559739738134255,126.97566478087013
03-0000008816,2.0,37.5932472752885,126.92313029440868
03-0000009102,2.0,37.59245545035591,126.92291465566554
03-0000034167,2.0,37.541941826599654,126.95574873006717
03-0000010832,2.0,37.54162628958653,126.95583804255864
03-0000001228,2.0,37.57652870048016,126.99701716680103
03-0000046074,2.0,37.58010136901023,126.98496650541206
03-0000062067,2.0,37.5931177952695,126.99939035845698
03-0000062068,2.0,37.58220540528644,127.0150404991224
03-0000062071,2.0,37.58835997819944,126.99971624132883
03-0000022151,2.0,37.58836644246108,126.99959307927709
03-0000062074,2.0,37.47300671068951,126.8849983732354
03-0000062075,2.0,37.472816442665454,126.88483926623627
03-0000060952,2.0,37.579201079584514,126.79949493297346
