연번,도로명,연장,차로 수,방향,오전,낮,오후,전일,"2020 년
전일",전년대비
1,4.19 로,"1,538",3,양방향,30.2,28.7,29.4,30.5,31.5,-1.0
,,,,EB,26.9,25.9,24.2,26.6,27.4,-0.8
,,,,WB,34.9,32.6,37.7,36.2,37.3,-1.1
2,가락로,"3,030",2,양방향,20.4,16.7,15.5,17.5,18.2,-0.7
,,,,EB,21.0,16.5,15.0,17.5,18.0,-0.5
,,,,WB,19.9,16.9,16.1,17.7,18.4,-0.7
3,가로공원로,"1,881",4~5,양방향,20.3,20.2,18.6,20.2,20.7,-0.5
,,,,EB,19.1,19.5,17.5,19.3,19.9,-0.6
,,,,WB,22.0,21.0,20.1,21.3,21.7,-0.4
4,가로공원로 76 길,574,2,양방향,16.1,14.6,14.0,15.1,15.3,-0.2
,,,,NB,15.0,13.8,13.5,14.3,14.1,0.2
,,,,SB,17.7,15.7,14.8,16.3,16.9,-0.6
5,가마산로,"5,462",4~7,양방향,23.4,21.2,19.2,21.4,22.2,-0.8
,,,,EB,23.8,21.5,20.3,22.0,22.9,-0.9
,,,,WB,23.2,21.0,18.2,21.0,21.7,-0.7
6,가산디지털 1 로,"2,419",4~6,양방향,22.6,21.6,14.9,21.1,22.0,-0.9
,,,,NB,22.2,21.1,16.7,21.0,21.7,-0.7
,,,,SB,23.1,22.1,14.3,21.4,22.4,-1.0
7,가산디지털 2 로,"1,998",4~6,양방향,20.2,19.8,13.6,19.1,20.4,-1.3
,,,,NB,20.7,19.6,12.9,18.9,19.4,-0.5
,,,,SB,19.9,20.2,15.0,19.6,21.7,-2.1
8,가산로,"1,618",2~4,양방향,18.4,15.7,13.9,16.1,16.3,-0.2
,,,,NB,16.9,14.4,12.8,14.7,14.8,-0.1
,,,,SB,20.5,17.5,15.5,17.9,18.2,-0.3
9,가양대로,"2,381",4~9,양방향,29.8,30.2,24.8,29.3,30.1,-0.8
,,,,EB,32.8,31.3,26.0,30.5,32.2,-1.7
,,,,WB,27.8,29.3,24.3,28.5,28.7,-0.2
10,가재울미래로,385,4,양방향,22.0,23.8,18.2,21.1,21.0,0.1
,,,,NB,22.6,22.4,19.1,22.6,22.2,0.4
,,,,SB,18.0,33.5,19.7,21.6,21.6,0.0
11,가좌로,"3,376",4~6,양방향,22.0,20.7,18.2,20.6,21.6,-1.0
,,,,NB,23.2,20.0,17.4,20.3,21.2,-0.9
,,,,SB,21.3,21.6,19.2,21.1,22.2,-1.1
12,갈현로,"3,466",2,양방향,18.8,16.8,15.6,17.3,18.0,-0.7
,,,,NB,18.7,16.1,15.3,16.9,17.5,-0.6
,,,,SB,19.0,17.5,16.0,17.7,18.5,-0.8
13,강남대로,"7,816",6~12,양방향,26.4,19.6,17.9,21.6,22.2,-0.6
,,,,NB,26.7,19.0,17.9,21.4,22.3,-0.9
,,,,SB,26.1,20.3,17.9,21.9,22.2,-0.3
14,강남순환로,"12,769",6~14,양방향,83.3,83.8,74.2,83.0,81.9,1.1
,,,,EB,77.2,83.2,84.9,83.8,78.6,5.2
,,,,WB,92.0,84.5,67.3,83.6,88.1,-4.5
15,강동대로,"5,120",5~11,양방향,30.3,28.1,25.9,28.8,29.9,-1.1
,,,,EB,27.5,25.1,24.1,26.2,27.7,-1.5
,,,,WB,33.9,32.0,28.0,32.0,32.6,-0.6
16,강변북로,"30,221",6~12,양방향,52.4,51.5,36.1,49.5,52.0,-2.5
,,,,EB,50.1,49.9,35.8,48.1,50.6,-2.5
,,,,WB,55.3,54.1,36.7,51.6,54.0,-2.4
17,강변역로,661,4~12,양방향,19.4,19.4,19.0,19.2,19.2,0.0
,,,,EB,20.7,19.8,19.7,19.9,20.1,-0.2
,,,,WB,18.1,18.9,18.4,18.6,18.4,0.2
18,강변역로 4 길,270,2,양방향,16.6,14.3,14.4,14.9,14.3,0.6
,,,,EB,15.4,13.7,13.6,14.0,13.0,1.0
,,,,WB,18.9,15.5,15.8,16.6,16.5,0.1
19,강서로,"5,569",4~7,양방향,22.6,18.9,16.5,19.5,20.5,-1.0
,,,,NB,22.4,19.3,18.3,20.1,21.2,-1.1
,,,,SB,22.9,18.5,15.1,19.2,20.0,-0.8
20,강서로 17 길,588,2,양방향,19.6,17.2,16.2,17.6,18.0,-0.4
,,,,EB,20.5,16.9,15.5,17.4,18.0,-0.6
,,,,WB,18.9,17.7,17.3,18.0,18.3,-0.3
21,강서로 29 길,579,2,양방향,15.7,15.1,14.3,15.2,15.7,-0.5
,,,,EB,16.7,15.7,14.8,15.7,15.9,-0.2
,,,,WB,15.2,14.8,14.1,15.0,15.9,-0.9
22,개봉로,"1,326",4~5,양방향,21.6,20.0,16.2,19.6,21.3,-1.7
