연번,도로명,연장,차로수,방향,오전,낮,오후,전일,"2021 년
전일","전년
대비"
1,4.19 로,"1,538",3,양방향,30.4,29.1,30.2,30.9,30.5,0.4
,,,,EB,27.1,26.3,25.2,27.1,26.6,0.5
,,,,WB,35.0,32.7,37.8,36.3,36.2,0.1
2,가락로,"3,030",2,양방향,20.0,16.9,15.8,17.6,17.5,0.1
,,,,EB,20.7,16.9,15.4,17.7,17.5,0.2
,,,,WB,19.4,16.9,16.2,17.5,17.7,-0.2
3,가로공원로,"1,881",4~5,양방향,20.0,19.8,18.4,19.9,20.2,-0.3
,,,,EB,18.7,19.1,17.2,19.0,19.3,-0.3
,,,,WB,21.9,20.6,20.1,21.1,21.3,-0.2
4,가로공원로 76 길,574,2,양방향,15.8,14.8,14.4,15.2,15.1,0.1
,,,,NB,14.9,14.2,13.7,14.4,14.3,0.1
,,,,SB,17.1,15.7,15.3,16.2,16.3,-0.1
5,가마산로,"5,462",4~7,양방향,23.0,21.0,19.3,21.3,21.4,-0.1
,,,,EB,23.2,21.1,19.7,21.5,22.0,-0.5
,,,,WB,22.9,21.0,18.9,21.1,21.0,0.1
6,가산디지털 1 로,"2,419",4~6,양방향,22.2,21.3,16.1,21.1,21.1,0.0
,,,,NB,21.7,20.8,17.8,20.9,21.0,-0.1
,,,,SB,22.9,21.9,15.3,21.5,21.4,0.1
7,가산디지털 2 로,"1,998",4~6,양방향,20.2,20.0,14.9,19.5,19.1,0.4
,,,,NB,20.6,19.5,14.2,19.2,18.9,0.3
,,,,SB,20.1,20.6,16.1,20.0,19.6,0.4
8,가산로,"1,618",2~4,양방향,17.9,15.6,13.6,15.8,16.1,-0.3
,,,,NB,16.5,14.3,12.5,14.5,14.7,-0.2
,,,,SB,19.8,17.3,15.0,17.5,17.9,-0.4
9,가양대로,"2,381",4~9,양방향,31.7,30.5,25.5,29.9,29.3,0.6
,,,,EB,32.4,30.6,25.6,30.0,30.5,-0.5
,,,,WB,31.2,30.5,25.8,30.1,28.5,1.6
10,가재울미래로,385,4,양방향,23.4,22.7,19.4,21.6,21.1,0.5
,,,,NB,22.8,20.6,18.4,21.1,22.6,-1.5
,,,,SB,22.8,30.0,22.7,24.1,21.6,2.5
11,가좌로,"3,376",4~6,양방향,21.3,20.3,18.5,20.4,20.6,-0.2
,,,,NB,22.3,19.3,17.5,19.9,20.3,-0.4
,,,,SB,20.9,21.4,19.6,21.1,21.1,0.0
12,갈현로,"3,466",2,양방향,18.2,16.8,15.8,17.2,17.3,-0.1
,,,,NB,18.0,16.2,15.6,16.8,16.9,-0.1
,,,,SB,18.5,17.5,16.1,17.7,17.7,0.0
13,강남대로,"7,816",6~12,양방향,26.2,20.4,18.1,21.9,21.6,0.3
,,,,NB,26.2,19.3,17.7,21.3,21.4,-0.1
,,,,SB,26.3,21.7,18.7,22.6,21.9,0.7
14,강남순환로,"12,769",6~14,양방향,82.0,83.5,72.8,82.3,83.0,-0.7
,,,,EB,75.7,82.9,85.0,83.2,83.8,-0.6
,,,,WB,91.2,84.7,65.3,83.1,83.6,-0.5
15,강동대로,"5,120",5~11,양방향,29.9,27.9,25.6,28.5,28.8,-0.3
,,,,EB,26.8,25.0,23.4,25.6,26.2,-0.6
,,,,WB,34.0,31.8,28.3,32.1,32.0,0.1
16,강변북로,"30,221",6~12,양방향,52.6,52.6,37.4,50.3,49.5,0.8
,,,,EB,49.8,50.8,37.2,48.6,48.1,0.5
,,,,WB,56.1,55.2,38.1,52.7,51.6,1.1
17,강변역로,661,4~12,양방향,19.0,19.0,18.7,18.9,19.2,-0.3
,,,,EB,20.2,19.5,19.2,19.5,19.9,-0.4
,,,,WB,17.9,18.5,18.2,18.4,18.6,-0.2
18,강변역로 4 길,270,2,양방향,16.5,14.7,14.8,15.2,14.9,0.3
,,,,EB,15.8,15.2,15.2,15.3,14.0,1.3
,,,,WB,18.2,14.8,14.9,15.8,16.6,-0.8
19,강서로,"5,569",4~7,양방향,22.1,19.1,16.7,19.5,19.5,0.0
,,,,NB,21.8,19.3,18.0,19.8,20.1,-0.3
,,,,SB,22.4,18.9,15.6,19.3,19.2,0.1
20,강서로 17 길,588,2,양방향,18.6,16.7,16.0,17.1,17.6,-0.5
,,,,EB,19.2,16.5,15.4,17.0,17.4,-0.4
,,,,WB,18.3,17.1,16.8,17.4,18.0,-0.6
21,강서로 29 길,579,2,양방향,15.3,15.2,14.2,15.0,15.2,-0.2
,,,,EB,16.0,16.0,14.7,15.7,15.7,0.0
,,,,WB,15.0,14.7,13.9,14.8,15.0,-0.2
