연번,도로명,연장,차로수,방향,오전,낮,오후,전일,2022 년전일,전년대비
1.0,4.19로,"1,538",3,양방향,30.1,28.3,29.4,30.3,30.9,-0.6
2.0,가락로,"3,030",2,양방향,19.0,16.2,15.2,16.8,17.6,-0.8
3.0,가로공원로,"1,881",4~5,양방향,19.3,19.1,17.7,19.2,19.9,-0.7
4.0,가로공원로76길,574,2,양방향,15.6,14.7,14.5,15.0,15.2,-0.2
5.0,가마산로,"5,462",4~7,양방향,22.3,20.9,19.0,21.0,21.3,-0.3
6.0,가산디지털1로,"2,419",4~6,양방향,22.1,21.2,15.4,20.8,21.1,-0.3
7.0,가산디지털2로,"1,998",4~6,양방향,19.7,19.3,13.9,18.8,19.5,-0.7
8.0,가산로,"1,618",2~4,양방향,17.1,15.3,13.2,15.3,15.8,-0.5
9.0,가양대로,"2,381",4~9,양방향,29.2,29.1,23.8,28.3,29.9,-1.6
10.0,가재울미래로,385,4,양방향,22.5,20.6,19.6,20.7,21.6,-0.9
11.0,가좌로,"3,376",4~6,양방향,21.1,19.9,18.5,20.2,20.4,-0.2
12.0,갈현로,"3,466",2,양방향,17.9,16.7,15.8,17.1,17.2,-0.1
13.0,강남대로,"7,816",6~12,양방향,26.3,20.9,18.4,22.3,21.9,0.4
14.0,강남순환로,"12,769",6~14,양방향,77.0,81.7,65.6,78.7,82.3,-3.6
15.0,강동대로,"5,120",5~11,양방향,29.6,27.3,25.0,27.9,28.5,-0.6
16.0,강변북로,"30,221",6~12,양방향,50.4,50.4,35.0,47.8,50.3,-2.5
17.0,강변역로,575,4~12,양방향,18.8,18.8,18.4,18.7,18.9,-0.2
18.0,강변역로4길,270,2,양방향,16.3,14.5,14.5,14.9,15.2,-0.3
19.0,강서로,"5,569",4~7,양방향,21.6,19.0,16.5,19.2,19.5,-0.3
20.0,강서로17길,588,2,양방향,17.3,15.7,14.9,16.0,17.1,-1.1
21.0,강서로29길,579,2,양방향,14.8,14.8,13.8,14.6,15.0,-0.4
22.0,개봉로,"1,326",4~5,양방향,21.2,19.1,16.0,19.2,20.0,-0.8
23.0,개포로,"4,498",4,양방향,20.8,19.4,16.6,19.5,20.6,-1.1
24.0,개화동로,"5,807",6~12,양방향,32.5,35.8,26.6,33.7,34.4,-0.7
25.0,거마로,"1,002",4,양방향,19.9,18.0,17.0,18.5,19.4,-0.9
26.0,거북골로,"2,368",2~4,양방향,14.7,14.3,13.8,14.4,14.6,-0.2
27.0,겸재로,"2,830",4~5,양방향,18.7,17.8,16.4,17.9,18.1,-0.2
28.0,경부고속도로,"15,486",6~10,양방향,48.7,43.4,34.2,45.0,40.0,5.0
29.0,경인로,"9,536",4~12,양방향,22.9,21.2,18.3,21.2,21.9,-0.7
30.0,경춘북로,604,6,양방향,26.2,30.1,19.6,27.4,27.6,-0.2
31.0,고덕로,"4,164",4~5,양방향,22.9,22.7,20.5,22.5,23.6,-1.1
32.0,고덕로55길,458,2,양방향,23.4,24.5,22.8,23.9,24.1,-0.2
33.0,고덕로61길,812,3~4,양방향,16.7,16.0,15.8,16.2,16.6,-0.4
