"시계지점별(1)",시계지점별(2),2021,2022,2023
"합계",도봉로(도봉산역),50853,49454,49206
"합계",동일로(의정부IC),85759,83299,86028
"합계",아차산로(워커힐),28456,27819,30472
"합계",망우로(망우리공원),31915,30939,30930
"합계",경춘북로(중랑경찰서),48402,47325,48850
"합계",화랑로(조선왕릉),48003,47702,47768
"합계",북부간선도로(신내IC),118711,120590,121532
"합계",서하남로(서하남IC),101911,101957,103208
"합계",천호대로(상일IC),100627,103193,108339
"합계",올림픽대로(강일IC),204401,199620,196876
"합계",경부고속도로(양재IC),186278,188060,188800
"합계",송파대로(복정역),59091,58773,58967
"합계",밤고개로(세곡동사거리),44062,42515,43537
"합계",분당수서로(성남시계),100606,100172,97168
"합계",과천대로(남태령역),64091,64043,67350
"합계",양재대로(양재IC),150728,153599,166123
"합계",반포대로(우면산터널),67905,65293,66363
"합계",시흥대로(석수역),81200,81047,85197
"합계",금오로(광명시계),10750,10574,10884
"합계",오리로(광명시계),25883,24877,24935
"합계",개봉로(개봉교),23969,23083,22601
"합계",광명대교(광명시계),25772,24986,25676
"합계",철산교(광명시계),38205,38024,38908
"합계",금천교(광명시계),57804,55519,54727
"합계",금하로(광명시계),33604,34192,35637
"합계",오정로(부천시계),23935,23974,23564
"합계",화곡로(화곡로입구),36339,36362,37694
"합계",경인고속국도(신월IC),178744,177583,159961
"합계",경인로(유한공고),31600,31267,31518
"합계",신정로(작동터널),44500,44242,46311
"합계",김포대로(개화교),50588,50385,51385
"합계",올림픽대로(개화IC),173024,174437,170949
"합계",통일로(고양시계),49037,51445,53746
"합계",서오릉로(고양시계),41859,42230,43338
"합계",수색로(고양시계),51741,51076,55264
"합계",강변북로(난지한강공원),236735,252201,258381
"합계",강변북로(구리시계),138104,138351,135986
"합계",동부간선도로(상도지하차도),-,70315,72163
