INTR_CD,INTR_NM,TYPE_CD,GU_CD,LOTNO,ROAD_SE,INTR_MNG_NO,SPC_DATA,APT_DONG_CODE,XCRD,YCRD
1302,삼성산성지,001,620,321-12 천,001,82-0000000976,,10200,193773.589738187,539911.427178887
1304,난향삼거리(연등),002,620,산87-11도,001,82-0000000201,,10200,193419.866494949,540179.92094897
1327,대우당약국,003,540,1000-118도,001,82-0000001561,,10300,191675.051918948,539051.325799164
1454,수동물병원(연등)2,001,530,442-185도,002,82-0000003649,,10200,190062.508304415,544145.216357905
1300,삼성동자치회관,001,620,310-5도,001,82-0000004279,,10200,193953.299243818,540500.194026834
1305,인헌초교,001,620,1679-9 대,001,82-0000002929,,10100,196378.73895283,541868.057988272
1309,금천경찰서(연등)1,001,620,543도,001,82-0000001560,,10200,192240.108329436,542444.534805926
1328,은행나무사거리,003,540,1000-99도,001,82-0000000382,,10300,191682.657529497,539208.202239021
1329,은행나무사거리(연등),001,540,1000-101도,001,82-0000002049,,10300,191768.785578766,539161.468928824
1330,관악농협,001,540,1000-123구,001,82-0000002361,,10300,192011.430219457,539037.622891593
1355,문성골길입구(연등),001,540,961-6대,001,82-0000002377,,10200,191460.564005911,541731.017194929
1479,다정슈퍼,001,560,833-13대,001,82-0000000722,,13300,191179.964165592,543367.409984937
1363,미성초교(연등),003,620,1642-1 도,001,82-0000004887,,10200,192366.462496931,542011.266470572
1307,낙성현대홈타운,001,620,0-61 가,002,82-0000002930,,10100,196795.200001029,542241.695081021
1580,개봉새마을금고,001,530,산9-14 공,002,82-0000001234,,10600,186817.997570698,544636.99214449
1308,호림박물관입구,001,620,526도,001,82-0000001260,,10200,192780.918169254,542565.644648347
1538,덕의초교,001,530,339 대,001,82-0000001689,,10600,187360.437354476,545133.32048797
1310,제이타워웨딩,002,620,1722 대,001,82-0000002051,,10200,192059.105385909,542404.442564012
1403,남문시장입구,003,540,980-28대,001,82-0000000612,,10200,191203.346272311,541321.220808041
1523,태진운수,001,530,646-16천,001,82-0000001396,,10200,190490.926482889,544402.32190076
1540,고척119안전센터(연등)2,002,530,산5-1 공,001,82-0000001769,,10600,187247.734560496,545077.198270294
1311,금천수요양병원,001,620,569-48대,001,82-0000001000,,10200,191742.298026064,542332.171875245
1410,금천구청역,002,540,113-77철,002,82-0000004327,,10300,190685.613606781,539623.041803276
1417,디지털학교,003,540,147-76 대,001,82-0000004653,,10200,190764.171963721,541469.458453082
1686,상도터널,001,590,2-16대,001,82-0000003605,,10300,195537.689302841,544968.708813796
1687,한국금융안전(연등),001,590,600-86대,001,82-0000002076,,10900,192132.030337233,543082.498386571
1688,문창초교,001,590,산 143 공,001,82-0000004212,,10900,192255.457223347,543132.974075883
1480,다정슈퍼(연등),001,560,854-23대,001,82-0000000389,,13300,191268.895112652,543467.461518404
1331,범일운수(연등)1,003,540,218-9대,001,82-0000003955,,10300,192167.309891449,539007.663945301
1695,압구정현대아파트,002,680,475 도,001,82-0000004218,,11000,202668.1973089,547623.105803917
1564,온수역8번출구(연등),001,530,산4-7임,001,82-0000004072,,11000,184392.333227295,543702.072641006
1699,청담초교,001,680,505 공,001,82-0000001654,,10400,203870.103613885,547504.918641301
1702,강남을지병원(연등),001,680,279-16 도,001,82-0000000907,,10700,202317.499206149,546605.466831673
1332,동일여고,001,540,266-2363대,001,82-0000004582,,10300,192405.533793708,538964.666196127
1700,청담초교정문(경보),001,680,144 도,002,82-0000002528,,10400,203894.458499253,547582.69808494
1706,학동(연등)2,001,680,668-6 도,001,82-0000003609,,10700,203303.485104436,547019.19378076
1541,고척근린공원,002,530,산22-4도,002,82-0000001770,,10600,186997.612943206,544958.085799062
1581,구로변전소,002,530,산68-1도,002,82-0000003030,,10200,189743.605329166,544287.214862264
1333,벽산6단지입구,003,540,1010-18도,001,82-0000002198,,10300,192739.901735683,538936.575861925
1334,도성교회,001,540,1010-18도,001,82-0000004463,,10300,192889.901149145,538955.85651925
1524,한국SGI회관앞,001,530,24대,001,82-0000003007,,10200,190190.753135713,544761.382614794
1507,SK윈윈주유소(연등),001,560,376도,001,82-0000001765,,13300,191065.290148312,544652.859414103
1431,제일제당앞,001,530,1258대,001,82-0000004332,,10200,188910.639038461,544486.016873809
1335,관악벽산타운1단지,002,540,산100-1임,001,82-0000001313,,10300,192992.267310529,539228.894626661
1582,오류2치안센터,002,530,332-6구,002,82-0000004570,,10800,185917.569580925,543519.681075628
1336,난곡사,001,620,산93-8 도,001,82-0000002362,,10200,193118.592447928,539926.486462536
1337,중앙사약국,001,540,846-11대,001,82-0000001562,,10300,191437.929150841,539394.724841295
1338,시흥초교후문(연등),001,540,1000-85도,001,82-0000002363,,10300,191695.557882968,539369.531110093
1689,래미안영등포110동,003,560,299-1 학,001,82-0000001354,,13200,191638.757717929,545082.361131755
1707,학동(연등)1,001,680,77-6 도,001,82-0000002835,,10400,203653.896974013,547108.633841747
1542,세곡초교,001,530,산9-14 공,001,82-0000001771,,10600,186839.995972787,544883.082923013
1428,신도림SK뷰,001,530,646 대,001,82-0000004331,,10100,189956.725906335,545366.468493642
1340,시흥초교후문,001,540,810-30대,001,82-0000000383,,10300,191674.445951821,539516.479515158
1341,안씨묘입구(연등)2,001,540,812-2대,001,82-0000003587,,10300,191653.104624166,539651.175087195
1509,신도림우성아파트,002,530,328-6도,002,82-0000003841,,10100,189980.920024369,545899.678416957
1455,동구로초교(연등)2,001,530,65도,001,82-0000003650,,10200,190259.587540919,543841.440915282
1510,신도림우성아파트(연등)1,001,530,316-1 도,002,82-0000005253,,10100,189864.895194827,545791.97055217
1342,안씨묘입구,001,540,1000-18도,001,82-0000004583,,10300,191637.837251324,539762.167238038
1439,오류역입구,001,530,55-1도,001,82-0000003357,,10800,186235.986158773,544102.255410197
1544,세곡초교(연등),002,530,산9-14 공,001,82-0000004896,,10600,186738.188803924,544835.488612882
1456,동구로초교,001,530,136-14도,001,82-0000002940,,10200,190338.340864311,543715.890019659
1565,온수역,002,530,113구,002,82-0000004188,,11000,184246.53267271,543622.56519889
1708,경원하이츠텔,001,680,145 도,001,82-0000004285,,10400,203948.389099959,547154.119787816
1484,대림1동주민센터(연등),001,560,906-40대,001,82-0000001491,,13300,191655.627939962,543900.388271818
1511,신정교(연등),002,530,271-96천,001,82-0000001394,,10100,189553.383941127,546194.118110392
1525,태영아파트정문,002,530,3-80도,001,82-0000001767,,10200,190028.38632523,545045.366967488
1709,원앙예식장,001,680,110-3 대,001,82-0000004066,,10400,204446.266969624,547232.085589499
1343,법원단지,001,540,1000-2도,001,82-0000000218,,10300,191595.598894559,540014.00202815
1710,영동대교남단(연등)1,001,680,77 도,001,82-0000000067,,10400,204666.961493249,547262.689698246
1566,성산타운,001,530,342대,001,82-0000000352,,10800,185568.742538321,543219.520433276
1345,시흥4동사거리,003,540,1081-20도,001,82-0000001563,,10200,191511.371234372,540373.877522168
1716,강남케이블TV,001,680,104-25 대,001,82-0000004247,,10800,203376.604158619,546312.310736276
1457,동구로초교(연등)1,001,530,93학,002,82-0000003565,,10200,190431.718546192,543583.290336969
1430,중앙유통단지,002,530,620-8도,001,82-0000000716,,10200,189145.384538361,544640.985853601
1711,논현역(연등),001,680,280 도,001,82-0000000068,,10800,202015.147228913,545787.780209243
1717,삼성해청아파트,001,680,77-85 도,001,82-0000004549,,10400,203868.447591908,546467.088274824
1526,미래초교,003,530,460-20철,001,82-0000001768,,10200,190075.252385696,544993.137735149
1348,정훈단지(연등),001,540,1021-31대,001,82-0000004363,,10200,191351.442783125,540673.335447263
1512,구로현대아파트,002,530,701-2도,002,82-0000001244,,10200,189160.616925556,543082.22212725
1718,강남세무서(연등)2,001,680,15-1 대,001,82-0000005393,,10400,203986.217383417,546493.151492804
1349,독산4동사거리,003,540,1081-16도,001,82-0000005298,,10200,191306.261835278,540786.76649179
1350,독산4동사거리(연등)1,001,540,1081-15도,001,82-0000005291,,10200,191329.542801601,540931.015481545
1513,구로1동파출소앞,002,530,685-222대,002,82-0000002801,,10200,188923.993303004,543540.182129885
1351,독산4동사거리(연등)2,001,540,1081-15도,001,82-0000001575,,10200,191359.14583261,541052.31273412
1690,한남대교남단,003,680,414 대,001,82-0000004042,,10700,201758.285133538,547047.937902016
1554,아이천국어린이집(연등),001,530,산2-45임,002,82-0000002555,,10800,185808.023551146,544284.273464139
1352,독산4동삼거리(연등)2,003,540,193-32도,001,82-0000002485,,10200,191390.660577151,541165.208192571
1356,문성골길입구,002,540,995-5도,001,82-0000002144,,10200,191473.463395169,541870.587718006
1481,대림1동새마을금고(연등)2,001,560,1120 대,001,82-0000002819,,13300,191480.81614599,543706.025467119
1567,,002,530,산26-2임,001,82-0000000032,,11100,185828.863402594,542858.551297636
1353,남서울주유소(연등),001,540,974-20대,001,82-0000002376,,10200,191436.823091168,541439.921035782
1719,강남세무서,001,680,28-20 대,001,82-0000003926,,10400,204103.725912942,546519.648183342
1485,대림역북측,001,530,795-2대,002,82-0000004056,,10200,190673.593175216,543891.689768627
1354,남서울주유소,001,540,961-13대,001,82-0000004168,,10200,191451.409956109,541613.756122822
1357,서원빌딩,001,540,995-2도,001,82-0000003804,,10200,191487.106988152,542071.425897396
7471,대일외고,001,290,1353-13 공,002,82-0000007141,,13300,201157.323544999,557055.361482943
1528,구로노인종합복지관(연등),002,530,3-25 대,001,82-0000003351,,10200,190172.078216512,545049.672498552
1367,난곡119안전센터,001,620,산197-1임,001,82-0000002145,,10200,192584.352503149,541832.540350165
1691,가로수길교차로(연등),001,680,394 도,001,82-0000001498,,11000,201859.214016034,547107.458909841
1482,대림1동새마을금고,001,560,893-58대,001,82-0000000838,,13300,191541.077651392,543773.251399105
3811,양천경찰서,001,470,327-4도,001,82-0000001663,,10100,188098.593340006,546303.237766343
1301,신우초교,001,620,306-50대,001,82-0000001468,,10200,193980.572871223,540243.698752707
1358,문성중(연등)1,001,540,898-13대,001,82-0000004615,,10200,191685.193477423,541902.180866658
1360,문성중,001,540,47-17대,001,82-0000004006,,10200,191833.163640213,541926.268596722
1440,오류동삼거리,002,530,6-2도,001,82-0000003253,,10800,185948.049768403,543943.862040997
1555,아이천국어린이집,001,530,474대,001,82-0000001683,,10800,185820.300813516,544187.110808564
1376,은천교회,001,620,395-61도,001,82-0000004837,,10200,193097.114268821,543181.753182006
1545,훼미리약국,001,530,253-317대,001,82-0000001690,,10600,186676.844672316,544807.848369123
1361,난곡중(연등),002,540,906-47 도,001,82-0000000016,,10200,192096.293361732,541968.996244291
1380,신사동주민센터앞,003,620,499-38대,001,82-0000002395,,10200,192390.98890151,542827.50476502
1458,구로3동새마을금고(연등)2,001,530,1265대,002,82-0000001858,,10200,190045.430017429,542986.336808733
1487,거리공원입구오거리,002,560,646-4제,001,82-0000005719,,13300,190574.372501596,544797.145369224
1382,신림현대아파트앞,002,620,689-64도,001,82-0000003502,,10200,191947.541458459,542867.174813592
1529,구로노인종합복지관,002,530,3-33 공,001,82-0000004481,,10200,190301.377457715,545137.969020826
