지점명,2021,2022,2023,지점번호,lat,lng
성산로(금화터널),61628,63125,62719,A-01,37.56875223122422,126.9489384199972
사직로(사직터널),68168,67874,68989,A-02,37.57245740000172,126.96328700000406
자하문로(자하문터널),29086,27352,27428,A-03,37.58871599999982,126.96848820000456
대사관로(삼청터널),11963,10925,10508,A-04,37.59636970000085,126.98470070000208
율곡로(안국역),52628,53866,53806,A-05,37.57598119999836,126.9846683999992
창경궁로(서울여자대학교),38112,40487,41506,A-06,37.58256939999995,126.998028899995
대학로(한국방송통신대학교),33772,32746,35030,A-07,37.57785200000141,127.00209450000396
종로(동묘앞역),50765,50681,52146,A-08,37.573166999996744,127.01715870000444
퇴계로(신당역),41021,41158,43085,A-09,37.565463500004306,127.02094049999522
동호로(장충체육관),52273,53542,56042,A-10,37.558618300001896,127.00716970000084
장충단로(장충단공원),47768,48456,49261,A-11,37.55676190869442,127.00464018922617
퇴계로(회현역),29730,29905,29707,A-12,37.55752489999909,126.97668460000249
세종대로(서울역),53578,54211,55509,A-13,37.55857930000355,126.97427840000192
새문안로(서울역사박물관),45839,46193,47579,A-14,37.56972639999681,126.9709362999957
종로(종로3가역),41143,41158,41664,A-15,37.57013620000031,126.99139789999737
서소문로(시청역),42890,44797,43390,A-16,37.562701200000106,126.97279579999442
세종대로(시청역2),61490,60933,61799,A-17,37.567596500003376,126.97717379999553
을지로(을지로3가역),31220,30783,31410,A-18,37.566075900003106,126.98896750000095
칠패로(숭례문),16232,16281,18107,A-19,37.559797100003784,126.9726046000029
남산1호터널,63685,65518,67741,A-20,37.53808229999969,127.00425330000216
남산2호터널,19913,19678,20439,A-21,37.54442359999968,126.98980260000384
남산3호터널,31989,32713,34413,A-22,37.54453219999888,126.98852179999868
소월로(회현역),11306,10832,11407,A-23,37.55710201634708,126.97638019790114
소파로(숭의여자대학교),9618,9592,9502,A-24,37.55508502594912,126.9837483843955
도봉로(도봉산역),50853,49454,49206,B-01,37.69209973706169,127.04488742571954
동일로(의정부IC),85759,83299,86028,B-02,37.69223180000242,127.05543789999804
아차산로(워커힐),28456,27819,30472,B-03,37.55184710000036,127.1097409999966
망우로(망우리공원),31915,30939,30930,B-04,37.6013129000006,127.1159729000004
경춘북로(중랑경찰서),48402,47325,48850,B-05,37.62026809999675,127.1056975999958
화랑로(조선왕릉),48003,47702,47768,B-06,37.63073670246202,127.09928509218535
북부간선도로(신내IC),118711,120590,121532,B-07,37.61367250378426,127.10893493207324
서하남로(서하남IC),101911,101957,103208,B-08,37.516981300001234,127.14711639999528
천호대로(상일IC),100627,103193,108339,B-09,37.54734809999835,127.17505549999586
올림픽대로(강일IC),204401,199620,196876,B-10,37.56982079947433,127.157273225747
경부고속도로(양재IC),186278,188060,188800,B-11,37.465006414418696,127.03859079411374
송파대로(복정역),59091,58773,58967,B-12,37.46904869999821,127.12618969999838
밤고개로(세곡동사거리),44062,42515,43537,B-13,37.462611968747694,127.10773200931992
분당수서로(성남시계),100606,100172,97168,B-14,37.47132806214891,127.1228022913362
과천대로(남태령역),64091,64043,67350,B-15,37.463458199997376,126.98861609999648
양재대로(양재IC),150728,153599,166123,B-16,37.4601690841641,127.03505048148553
반포대로(우면산터널),67905,65293,66363,B-17,37.483745599999104,127.0113763000036
시흥대로(석수역),81200,81047,85197,B-18,37.43498420000287,126.9034930000047
금오로(광명시계),10750,10574,10884,B-19,37.48278239999846,126.84182239999856
오리로(광명시계),25883,24877,24935,B-20,37.48267618903179,126.84289831021778
개봉로(개봉교),23969,23083,22601,B-21,37.48664220000377,126.85642539999776
광명대교(광명시계),25772,24986,25676,B-22,37.48498899999904,126.87336190000012
철산교(광명시계),38205,38024,38908,B-23,37.474456799997824,126.878453999995
금천교(광명시계),57804,55519,54727,B-24,37.46464039999587,126.88444159999447
금하로(광명시계),33604,34192,35637,B-25,37.45136619999872,126.8917668000032
오정로(부천시계),23935,23974,23564,B-26,37.5426509999979,126.8094356000054
화곡로(화곡로입구),36339,36362,37694,B-27,37.53929618036994,126.82437028161156
경인고속국도(신월IC),178744,177583,159961,B-28,37.52513505460932,126.83235634264776
경인로(유한공고),31600,31267,31518,B-29,37.488713599998945,126.8226297999944
신정로(작동터널),44500,44242,46311,B-30,37.50616596420618,126.82410862874092
김포대로(개화교),50588,50385,51385,B-31,37.585515299996786,126.79583550000116
올림픽대로(개화IC),173024,174437,170949,B-32,37.58784236468324,126.81300198793026
통일로(고양시계),49037,51445,53746,B-33,37.64686019999811,126.90669910000295
서오릉로(고양시계),41859,42230,43338,B-34,37.6178981999975,126.90605159999863
수색로(고양시계),51741,51076,55264,B-35,37.587758799997815,126.8864555000007
강변북로(난지한강공원),236735,252201,258381,B-36,37.570874864223846,126.8725292247012
강변북로(구리시계),138104,138351,135986,B-37,37.56339817621422,127.11726003795188
동부간선도로(상도지하차도),-,70315,72163,B-38,37.68247417567289,127.05245447751736
